Game,Move No,Player,Move,chess.com Classification,Played Move Classification,Played Move Standing,Played Move Evaluation,Evaluation (Before Move),Win %,Legal Moves (At Move),Game Phase,Material Advantage,Line 1 Eval,Win % (Player),Win % (Player)_scaled,Move Quality (Delta)
4,18,White,exf4,good,inaccuracy,2,0.26,0.64,51.8,41,Middlegame,1,0.59,51.8,0.518,-0.38
4,18,Black,exf4,best,best,1,0.23,0.18,52.2,32,Middlegame,2,0.23,47.8,0.478,0.05
4,19,White,Bb3+,good,good,5,0.0,0.22,50.0,40,Middlegame,1,0.19,50.0,0.5,-0.22
4,19,Black,Kh8,best,best,1,-0.07,0.0,49.7,3,Middlegame,1,-0.07,50.3,0.503,-0.07
4,20,White,Qa4,inaccuracy,mistake,6,-0.81,-0.03,44.8,37,Middlegame,1,-0.15,44.8,0.44799999999999995,-0.78
4,20,Black,fxg3,inaccuracy,best,1,-0.84,-0.52,45.1,31,Middlegame,1,-0.84,54.9,0.5489999999999999,-0.32
4,21,White,fxg3,best,best,1,-0.74,-0.49,47.6,39,Middlegame,0,-0.74,47.6,0.47600000000000003,-0.25
4,21,Black,Bc5+,good,mistake,4,0.36,-0.24,53.4,35,Middlegame,1,-0.63,46.6,0.466,0.6
4,22,White,Kh1,best,best,1,0.31,0.34,53.4,4,Middlegame,1,0.31,53.4,0.534,-0.03
4,22,Black,Qb6,mistake,inaccuracy,11,1.04,0.34,60.4,47,Middlegame,1,0.37,39.6,0.396,0.7
4,23,White,Qc4,miss,good,10,0.65,1.04,55.5,43,Middlegame,1,0.97,55.5,0.555,-0.39
4,23,Black,Bf2,best,best,1,0.63,0.55,54.9,39,Middlegame,1,0.63,45.1,0.451,0.08
4,24,White,Rad1,excellent,best,1,0.57,0.49,55.2,36,Middlegame,1,0.57,55.2,0.552,0.08
4,24,Black,Qe3,excellent,excellent,2,0.57,0.52,54.9,39,Middlegame,1,0.57,45.1,0.451,0.05
4,25,White,Rxd8,blunder,best,1,-20.0,0.49,0.0,39,Middlegame,1,0.53,0.0,0.0,-20.49
4,25,Black,Qf3#,best,best,1,-21.0,-20.0,0.0,33,Middlegame,6,,100.0,1.0,-1.0
5,1,White,d3,book,inaccuracy,10,-0.06,0.47,48.4,20,Opening,0,0.43,48.4,0.484,-0.53
5,1,Black,d5,book,excellent,3,-0.08,-0.16,49.6,20,Opening,0,-0.09,50.4,0.504,0.08
5,2,White,Nf3,book,best,1,-0.1,-0.04,48.6,27,Opening,0,-0.07,48.6,0.486,-0.06
5,2,Black,c5,excellent,good,4,0.05,-0.14,50.7,28,Opening,0,-0.12,49.3,0.493,0.19
5,3,White,c3,good,good,5,-0.36,0.07,46.5,30,Opening,0,0.14,46.5,0.465,-0.43
5,3,Black,Nc6,excellent,excellent,2,-0.27,-0.35,47.7,30,Opening,0,-0.39,52.3,0.523,0.08
5,4,White,Qc2,good,good,10,-0.78,-0.23,42.1,31,Opening,0,-0.23,42.1,0.42100000000000004,-0.55
5,4,Black,e5,best,excellent,2,-0.78,-0.79,43.0,33,Opening,0,-0.78,57.0,0.57,0.01
5,5,White,e4,best,excellent,4,-0.69,-0.7,42.4,32,Opening,0,-0.69,42.4,0.424,0.01
5,5,Black,d4,excellent,excellent,4,-0.58,-0.76,44.1,40,Opening,0,-0.75,55.9,0.5589999999999999,0.18
5,6,White,Be2,good,excellent,2,-0.62,-0.59,45.2,33,Opening,0,-0.62,45.2,0.452,-0.03
5,6,Black,f5,mistake,mistake,11,0.47,-0.48,54.7,39,Opening,0,-0.67,45.3,0.45299999999999996,0.95
5,7,White,Bg5,inaccuracy,inaccuracy,9,-0.19,0.47,48.1,36,Opening,0,0.58,48.1,0.48100000000000004,-0.66
5,7,Black,Be7,best,best,1,-0.25,-0.19,48.0,34,Opening,0,-0.25,52.0,0.52,-0.06
5,8,White,Bxe7,best,best,1,-0.22,-0.2,49.1,39,Opening,0,-0.22,49.1,0.491,-0.02
